name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
South Lake Brewing Company,micro,1920 Lake Tahoe Blvd,South Lake Tahoe,California,96150-6307,-120.0074997,38.9118004,California,96150,6507,"South Lake Tahoe city, California",6.0,73108.0,22752.0,11165.0,11587.0,36.5,36.9,36.3,26317.0,1466.0,3106.0,4415.0,4286.0,2557.0,10416.0,68873.0,86716.0,88247.0,36210.0,18495.0,7375.0,7674.0,16299.0,8741.0,7558.0
South Park Brewing,brewpub,1517 30th St,San Diego,California,92102-1503,-117.130074,32.7470971,California,92102,6508,"San Diego city, California",6.0,66000.0,1381600.0,707804.0,673796.0,35.9,34.9,37.0,34070.0,2826.0,3995.0,4564.0,4380.0,4664.0,11759.0,93042.0,107093.0,74377.0,48579.0,1150367.0,502249.0,457320.0,555456.0,521000.0,34456.0
Southbound Brewing Co,micro,107 E Lathrop Ave,Savannah,Georgia,31415-2182,-81.111372,32.087032,Georgia,31415,6514,"Savannah city, Georgia",13.0,69000.0,147087.0,69592.0,77495.0,33.1,32.4,34.0,55682.0,3737.0,8678.0,10142.0,10112.0,5794.0,7973.0,49612.0,60153.0,37615.0,29224.0,16983.0,47139.0,50073.0,68618.0,59612.0,9006.0
Southern Barrel Brewing Company,micro,375 Buckwalter Place Blvd,Bluffton,South Carolina,29910,-80.9199124,32.2715377,South Carolina,29910,6517,"Bluffton town, South Carolina",45.0,7210.0,32201.0,16011.0,16190.0,37.3,35.3,38.0,22572.0,1182.0,3354.0,3395.0,2007.0,3191.0,63391.0,74139.0,65378.0,30492.0,35251.0,18462.0,10489.0,10172.0,12810.0,11961.0,849.0
Southern Brewing & Winemaking Brewery,brewpub,4500 N Nebraska Ave,Tampa,Florida,33603-4149,-82.4500207,27.9495902,Florida,33603,6518,"Tampa city, Florida",12.0,71000.0,387037.0,190098.0,196939.0,35.8,35.6,35.9,25558.0,1173.0,2382.0,2834.0,2814.0,5306.0,10498.0,63404.0,80390.0,32743.0,41792.0,23055.0,129657.0,128671.0,172886.0,159925.0,12961.0
Southern Grist Brewing Company,micro,1201 Porter Rd,Nashville,Tennessee,37206-1733,-86.729011,36.188838,Tennessee,37206,6521,"Nashville-Davidson metropolitan government (balance), Tennessee",47.0,52006.0,678845.0,327201.0,351644.0,34.9,34.5,35.2,33896.0,2259.0,3570.0,4378.0,3687.0,4095.0,6974.0,50833.0,51449.0,11049.0,40496.0,39615.0,228371.0,240242.0,331262.0,305247.0,26015.0
Southern Pacific Brewing,brewpub,620 Treat Ave,San Francisco,California,94110-2016,-122.4139896,37.7601311,California,94110,6525,"San Francisco city, California",6.0,67000.0,815201.0,417313.0,397888.0,40.4,40.1,41.0,38670.0,2465.0,5049.0,6244.0,4938.0,5346.0,13112.0,121826.0,150429.0,66875.0,76010.0,713617.0,299502.0,271633.0,412269.0,350796.0,61473.0
Southern Peak Brewery,micro,950 Windy Rd Ste 100,Apex,North Carolina,27502-2410,-78.8439995,35.7461806,North Carolina,27502,6526,"Apex town, North Carolina",37.0,1520.0,62904.0,30060.0,32844.0,34.4,34.0,34.5,27126.0,1615.0,3688.0,5031.0,2366.0,3495.0,38131.0,50331.0,73784.0,25363.0,61193.0,17313.0,20212.0,21507.0,23626.0,22504.0,1122.0
Southern Prohibition Brewing,micro,301 Mobile St,Hattiesburg,Mississippi,39401-3406,-89.28992011,31.33123464,Mississippi,39401,6528,"Hattiesburg city, Mississippi",28.0,31020.0,45704.0,21170.0,24534.0,29.7,32.1,27.5,20436.0,2277.0,1593.0,2602.0,3793.0,2876.0,10513.0,40080.0,108605.0,44707.0,21220.0,26947.0,14989.0,16480.0,21031.0,19273.0,1758.0
Southern Range Brewing,brewpub,151 S Stewart St,Monroe,North Carolina,28112,-80.55091346,34.98073637,North Carolina,28112,6529,"Monroe city, North Carolina",37.0,43920.0,34891.0,17383.0,17508.0,32.6,29.8,33.8,51596.0,3286.0,7127.0,7855.0,7537.0,4575.0,7998.0,50919.0,127703.0,31645.0,32716.0,25762.0,10604.0,11139.0,12729.0,12217.0,512.0
Southern Star Brewing,micro,3525 N Frazier St,Conroe,Texas,77303-1430,-95.4776897,30.3587546,Texas,77303,6531,"Conroe city, Texas",48.0,16432.0,94401.0,47750.0,46651.0,33.8,29.6,35.8,28645.0,2973.0,3907.0,4177.0,4123.0,3395.0,16405.0,114466.0,68601.0,40000.0,40708.0,251782.0,30333.0,30111.0,39740.0,37297.0,2443.0
Southern Swells Brewing Company,micro,1312 Beach Blvd,Jacksonville Beach,Florida,32250-3408,-81.3923194,30.2882669,Florida,32250,6533,"Jacksonville Beach city, Florida",12.0,35050.0,24623.0,12085.0,12538.0,39.1,40.5,38.7,20208.0,1474.0,3413.0,2120.0,3005.0,2761.0,25559.0,111067.0,126184.0,44922.0,43826.0,20110.0,7278.0,8307.0,11967.0,10347.0,1620.0
Southern Tier Brewing Co,brewpub,316 N Shore Dr,Pittsburgh,Pennsylvania,15212-5870,-80.008595,40.4464115,Pennsylvania,15212,6536,"Pittsburgh city, Pennsylvania",42.0,61000.0,300454.0,146812.0,153642.0,34.2,32.9,35.4,26866.0,1739.0,3569.0,2942.0,4008.0,3512.0,9373.0,52325.0,46148.0,35425.0,37234.0,37729.0,105059.0,109673.0,159435.0,136747.0,22688.0
Southpaw BBQ & Southern Cooking,brewpub,2170 Mission St,San Francisco,California,94110-1247,-122.4195306,37.7634391,California,94110,6538,"San Francisco city, California",6.0,67000.0,815201.0,417313.0,397888.0,40.4,40.1,41.0,38670.0,2465.0,5049.0,6244.0,4938.0,5346.0,13112.0,121826.0,150429.0,66875.0,76010.0,713617.0,299502.0,271633.0,412269.0,350796.0,61473.0
Spahr Brewing Company,micro,3541 W Fairfield Dr,Pensacola,Florida,32505-4862,-87.25663063,30.44184376,Florida,32505,6541,"Pensacola city, Florida",12.0,55925.0,53685.0,25274.0,28411.0,44.1,40.3,47.5,85927.0,8198.0,9373.0,11344.0,10439.0,10392.0,24001.0,51578.0,64203.0,38542.0,38255.0,62593.0,16970.0,15368.0,29134.0,26119.0,3015.0
Spangalang Brewery,micro,2736 Welton St Ste 102,Denver,Colorado,80205-2900,-104.9770361,39.7552227,Colorado,80205,6542,"Denver city, Colorado",8.0,20000.0,711463.0,358282.0,353181.0,35.1,35.1,35.1,20328.0,4138.0,3382.0,3208.0,2591.0,1527.0,8555.0,81630.0,105365.0,43326.0,50986.0,592643.0,259713.0,246522.0,351829.0,326634.0,25195.0
Speakeasy Ales and Lagers,micro,1195 Evans Ave,San Francisco,California,94124-1704,-122.3808557,37.73854531,California,94124,6544,"San Francisco city, California",6.0,67000.0,815201.0,417313.0,397888.0,40.4,40.1,41.0,38670.0,2465.0,5049.0,6244.0,4938.0,5346.0,13112.0,121826.0,150429.0,66875.0,76010.0,713617.0,299502.0,271633.0,412269.0,350796.0,61473.0
Spencer Devon Brewing,brewpub,106 George St,Fredericksburg,Virginia,22401-5863,-77.4587704,38.30272523,Virginia,22401,6549,"Fredericksburg city, Virginia",51.0,29744.0,28367.0,13892.0,14475.0,35.4,33.9,36.3,137746.0,16284.0,21712.0,17595.0,13081.0,18274.0,8547.0,51862.0,58084.0,56139.0,37423.0,34678.0,9692.0,10614.0,11960.0,11386.0,574.0
Spice Trade Brewing,brewpub,7803 Ralston Rd,Arvada,Colorado,80002-2433,-105.0841731,39.802334,Colorado,80002,6550,"Arvada city, Colorado",8.0,3455.0,123829.0,60543.0,63286.0,39.7,39.3,40.2,389675.0,35930.0,60744.0,61652.0,48168.0,42361.0,140003.0,92647.0,116275.0,38005.0,54054.0,100012.0,38123.0,38962.0,51928.0,50678.0,1250.0
Spigots Brew Pub,brewpub,622 Barrow St,Houma,Louisiana,70360-4608,-90.71974565,29.59396551,Louisiana,70360,6552,"Houma city, Louisiana",22.0,36255.0,33017.0,15132.0,17885.0,36.7,35.4,38.4,65376.0,4355.0,8314.0,7920.0,7008.0,8554.0,51150.0,57730.0,78980.0,87527.0,41144.0,21703.0,9549.0,9872.0,16099.0,14882.0,1217.0
Spindletap Brewery,micro,10622 Hirsch Rd,Houston,Texas,77016-2622,-95.3149254,29.8677396,Texas,77016,6554,"Houston city, Texas",48.0,35000.0,2287047.0,1124951.0,1162096.0,34.8,34.7,35.0,22835.0,1704.0,5221.0,3563.0,2384.0,2402.0,9574.0,27153.0,104704.0,37383.0,33364.0,192072.0,772846.0,765525.0,1028763.0,924981.0,103782.0
Spiral Brewery,micro,111 2nd St E,Hastings,Minnesota,55033-1265,-92.8524399,44.7443609,Minnesota,55033,6555,"Hastings city, Minnesota",27.0,27530.0,24244.0,12204.0,12040.0,40.5,41.3,38.7,35538.0,2452.0,3237.0,5156.0,3991.0,5356.0,23868.0,84746.0,100236.0,27823.0,51478.0,38649.0,8440.0,7315.0,10156.0,9693.0,463.0
